name,number,bonus,pct_max_bonus
Trevor Martin,104,586200,0.07157509158
Dylan O'Rae,102,597500,0.07295482295
Gary Gill Hill,194,597500,0.07295482295
Max Rajcic,187,600000,0.07326007326
Logan Wagner,195,600000,0.07326007326
Jackson Humphries,241,600000,0.07326007326
Trystan Vrieling,100,611400,0.07465201465
Gabriel Rincones,93,627500,0.07661782662
Pete Hansen,97,629800,0.0768986569
Drake Baldwin,96,633300,0.07732600733
Blake Burkhalter,76,647500,0.07905982906
Emaarion Boyd,332,647500,0.07905982906
Mason Barnett,87,697500,0.08516483516
Seth Keller,185,697500,0.08516483516
Nate Savino,82,700000,0.08547008547
Brooks Brannon,279,712500,0.086996337
Chandler Simpson,70,750000,0.09157509158
Ryan Cermak,71,750000,0.09157509158
Colby Thomas,95,750000,0.09157509158
Trey Lipscomb,84,758900,0.09266178266
Jack Brannigan,83,770700,0.0941025641
Carson Palmquist,88,775000,0.09462759463
Jacob Reimer,119,775000,0.09462759463
Robert Moore,72,800000,0.09768009768
Henry Williams,91,800000,0.09768009768
Joe Lampe,92,800000,0.09768009768
Andrew Taylor,80,807200,0.09855921856
Cade Doughty,78,833600,0.1017826618
Justin Boyd,73,847500,0.1034798535
Clark Elliott,69,900000,0.1098901099
Christopher Paciolla,86,900000,0.1098901099
Jonathan Cannon,101,925000,0.1129426129
Ben Joyce,89,997500,0.1217948718
Jake Madden,118,997500,0.1217948718
Josh Kasevich,60,1000000,0.1221001221
Jacob Melton,64,1000000,0.1221001221
Nick Morabito,75,1000000,0.1221001221
Michael Kennedy,110,1000000,0.1221001221
Brenner Cox,111,1000000,0.1221001221
Nazier Mule,113,1000000,0.1221001221
Tanner Schobel,68,1002000,0.1223443223
Jud Fabian,67,1026800,0.1253724054
Logan Tanner,55,1030500,0.1258241758
Brock Jones,65,1077600,0.1315750916
Brycen Mautz,59,1100000,0.1343101343
Ashton Izzi,126,1100000,0.1343101343
Drew Thorpe,61,1187600,0.145006105
Adam Maier,215,1200000,0.1465201465
Jacob Zibin,301,1200000,0.1465201465
Adam Mazur,53,1250000,0.1526251526
Walter Ford,74,1250000,0.1526251526
Ryan Clifford,343,1256530,0.1534224664
Tyler Locklear,58,1276500,0.1558608059
Parker Messick,54,1300000,0.1587301587
Ivan Melendez,43,1400000,0.1709401709
Cole Phillips,57,1497500,0.1828449328
Caden Dana,328,1497500,0.1828449328
Peyton Pallette,62,1500000,0.1831501832
Karson Milbrandt,85,1500000,0.1831501832
Hunter Barco,44,1525000,0.1862026862
Justin Campbell,37,1700000,0.2075702076
Cayden Wallace,49,1700000,0.2075702076
Jacob Miller,46,1700400,0.2076190476
Jake Bennett,45,1734800,0.2118192918
Peyton Graham,51,1800000,0.2197802198
Connor Prielipp,48,1825000,0.2228327228
Cutter Coffey,41,1850000,0.2258852259
Jackson Cox,50,1850000,0.2258852259
Blade Tidwell,52,1850000,0.2258852259
Carson Whisenhunt,66,1868720,0.2281709402
Max Wagner,42,1900000,0.231990232
Dalton Rushing,40,1959390,0.2392417582
Henry Bolte,56,2000000,0.2442002442
Tucker Toman,77,2000000,0.2442002442
Eric Brown,27,2050000,0.2503052503
Thomas Harrington,36,2050000,0.2503052503
Sal Stewart,32,2097500,0.2561050061
Dylan Beavers,33,2200000,0.2686202686
Jordan Beck,38,2200000,0.2686202686
Reggie Crawford,30,2297500,0.2805250305
Mikey Romero,24,2300000,0.2808302808
Landon Sims,34,2347050,0.2865750916
Jacob Misiorowski,63,2350000,0.2869352869
JR Ritchie,35,2400000,0.293040293
Sterlin Thompson,31,2430500,0.2967643468
Drew Gilbert,28,2500000,0.3052503053
Roman Anthony,79,2500000,0.3052503053
Xavier Isaac,29,2548900,0.3112210012
Owen Murphy,20,2556900,0.3121978022
Noah Schultz,26,2800000,0.3418803419
Spencer Jones,25,2880800,0.3517460317
Robby Snelling,39,3000000,0.3663003663
Jackson Ferris,47,3005000,0.3669108669
Cooper Hjerpe,22,3182200,0.3885470085
Cole Young,21,3300000,0.4029304029
Zach Neto,13,3500000,0.4273504274
Daniel Susac,19,3531200,0.4311599512
Brandon Barriera,23,3597500,0.4392551893
Brock Porter,109,3700000,0.4517704518
Chase DeLauter,16,3750000,0.4578754579
Justin Crawford,17,3894800,0.4755555556
Jett Williams,14,3900000,0.4761904762
Dylan Lesko,15,3900000,0.4761904762
Gabriel Hughes,10,4000000,0.4884004884
Cade Horton,7,4450000,0.5433455433
Jace Jung,12,4590300,0.5604761905
Cam Collier,18,5000000,0.6105006105
Kevin Parada,11,5019735,0.6129102564
Kumar Rocker,3,5200000,0.6349206349
Gavin Cross,9,5202900,0.6352747253
Brooks Lee,8,5675000,0.6929181929
Jacob Berry,6,6000000,0.7326007326
Elijah Green,5,6500000,0.7936507937
Termarr Johnson,4,7219000,0.8814407814
Druw Jones,2,8189400,0.9999267399
Jackson Holliday,1,8190000,1
