name,pick_23,pick_98,pick_128
Brody Brecht,0.323989368996344,0.345186784548544,0.474898728328269
Caleb Lomavita,0.285155086153256,0.0803610087605593,0.0702747267135072
Tommy White,0.300962190903164,0.0803610087605593,0.0702747267135072
David Shields,0.32132857690711,0.132352801151807,0.11847043363575
Jared Thomas,0.246320803310168,0.073152132304773,0.0592697647887161
Caleb Bonemer,0.282494294064022,0.125143924696021,0.107465471710959
Luke Dickerson,0.282494294064022,0.125143924696021,0.107465471710959
Chris Cortez,0.300962190903164,0.0803610087605593,0.0702747267135072
Jonathan Santucci,0.262127908060076,0.073152132304773,0.0592697647887161
Wyatt Sanford,0.383190037843378,0.148703094623739,0.143347998316834
Jacob Cozart,0.300962190903164,0.0803610087605593,0.0702747267135072
Owen Hall,0.383190037843378,0.148703094623739,0.143347998316834
Payton Tolle,0.223293625216988,0.0659432558489872,0.048264802863925
Tyson Lewis,0.383190037843378,0.148703094623739,0.143347998316834
Boston Bateman,0.32132857690711,0.132352801151807,0.11847043363575
Bryce Cunningham,0.285155086153256,0.0803610087605593,0.0702747267135072
Cole Mathis,0.223293625216988,0.0659432558489872,0.048264802863925
Ryan Sloan,0.398997142593286,0.148703094623739,0.143347998316834
Carter Johnson,0.398997142593286,0.148703094623739,0.143347998316834
Bryce Meccage,0.305521472157203,0.132352801151807,0.11847043363575
Khal Stephen,0.262127908060076,0.073152132304773,0.0592697647887161
Billy Amick,0.207486520467081,0.0659432558489872,0.048264802863925
Ethan Anderson,0.223293625216988,0.0659432558489872,0.048264802863925
Carter Holton,0.223293625216988,0.0659432558489872,0.048264802863925
Griffin Burkholder,0.305521472157203,0.132352801151807,0.11847043363575
Ivan Luciano,0.266687189314115,0.125143924696021,0.107465471710959
Dylan Dreiling,0.207486520467081,0.0659432558489872,0.048264802863925
Blake Larson,0.266687189314115,0.125143924696021,0.107465471710959
Dasan Hill,0.383190037843378,0.148703094623739,0.143347998316834
Aiden May,0.262127908060076,0.073152132304773,0.0592697647887161
Luke Holman,0.262127908060076,0.073152132304773,0.0592697647887161
Ethan Schiefelbein,0.32132857690711,0.132352801151807,0.11847043363575
Gage Jump,0.223293625216988,0.0659432558489872,0.048264802863925
Ryan Johnson,0.262127908060076,0.073152132304773,0.0592697647887161
Josh Kuroda-Grauer,0.223293625216988,0.0659432558489872,0.048264802863925
Drew Beam,0.223293625216988,0.0659432558489872,0.048264802863925
Cole Messina,0.1844593423739,0.0587343793932009,0.0486086429103598
Nick McLain,0.1844593423739,0.0587343793932009,0.0486086429103598
Kevin Bazzell,0.262127908060076,0.073152132304773,0.0592697647887161
Brian Holiday,0.1844593423739,0.0587343793932009,0.0486086429103598
Nate Dohm,0.207486520467081,0.0659432558489872,0.048264802863925
Josh Hartle,0.262127908060076,0.073152132304773,0.0592697647887161
Joey Oakie,0.34435575500029,0.139561677607593,0.129475395560542
Josh Randall,0.223293625216988,0.0659432558489872,0.048264802863925
Brandon Neely,0.1844593423739,0.0587343793932009,0.0486086429103598
Mike Sirota,0.262127908060076,0.073152132304773,0.0592697647887161
Cobb Hightower,0.266687189314115,0.125143924696021,0.107465471710959
Thatcher Hurd,0.262127908060076,0.073152132304773,0.0592697647887161
Ronny Cruz,0.266687189314115,0.125143924696021,0.107465471710959
Hunter Cranton,0.262127908060076,0.073152132304773,0.0592697647887161
Gage Miller,0.1844593423739,0.0587343793932009,0.0486086429103598
Jaron DeBerry,0.223293625216988,0.0659432558489872,0.048264802863925
Nathan Flewelling,0.266687189314115,0.125143924696021,0.107465471710959
Johnny King,0.282494294064022,0.125143924696021,0.107465471710959
Khadim Diaw,0.207486520467081,0.0659432558489872,0.048264802863925
Austin Overn,0.207486520467081,0.0659432558489872,0.048264802863925
Chase Harlan,0.266687189314115,0.125143924696021,0.107465471710959
Luke Sinnard,0.246320803310168,0.073152132304773,0.0592697647887161
John Spikerman,0.223293625216988,0.0659432558489872,0.048264802863925
Ryan Forcucci,0.246320803310168,0.073152132304773,0.0592697647887161
Daniel Eagen,0.246320803310168,0.073152132304773,0.0592697647887161
Casey Cook,0.223293625216988,0.0659432558489872,0.048264802863925
Rodney Green,0.168652237623993,0.0587343793932009,0.0486086429103598
Blake Wright,0.1844593423739,0.0587343793932009,0.0486086429103598
Casey Saucke,0.1844593423739,0.0587343793932009,0.0486086429103598
Jackson Kent,0.1844593423739,0.0587343793932009,0.0486086429103598
Ryan Campos,0.1844593423739,0.0587343793932009,0.0486086429103598
Austin Gordon,0.1844593423739,0.0587343793932009,0.0486086429103598
Eddie Rynders,0.266687189314115,0.125143924696021,0.107465471710959
Rafe Schlesinger,0.1844593423739,0.0587343793932009,0.0486086429103598
Michael Massey,0.262127908060076,0.073152132304773,0.0592697647887161
Zach Ehrhard,0.207486520467081,0.0659432558489872,0.048264802863925
Dakota Jordan,0.207486520467081,0.0659432558489872,0.048264802863925
Peyton Stovall,0.223293625216988,0.0659432558489872,0.048264802863925
Tyson Neighbors,0.262127908060076,0.073152132304773,0.0592697647887161
Gage Ziehl,0.1844593423739,0.0587343793932009,0.0486086429103598
Ty Southisene,0.227852906471027,0.117935048240235,0.107809311757394
Josh Caron,0.223293625216988,0.0659432558489872,0.048264802863925
Fenwick Trimble,0.1844593423739,0.0587343793932009,0.0486086429103598
Marco Dinges,0.168652237623993,0.0587343793932009,0.0486086429103598
Nate Knowles,0.168652237623993,0.0587343793932009,0.0486086429103598
Sean Keys,0.262127908060076,0.073152132304773,0.0592697647887161
Jaime Ferrer,0.0909836719378174,0.0443166264816293,0.0492963230032296
Chase Allsup,0.0909836719378174,0.0443166264816293,0.0492963230032296
Jakob Wright,0.0909836719378174,0.0443166264816293,0.0492963230032296
Herick Hernandez,0.0909836719378174,0.0443166264816293,0.0492963230032296
Carson DeMartini,0.207486520467081,0.0659432558489872,0.048264802863925
Parker Smith,0.168652237623993,0.0587343793932009,0.0486086429103598
Tytus Cissell,0.266687189314115,0.125143924696021,0.107465471710959
David Hagaman,0.285155086153256,0.0803610087605593,0.0702747267135072
Kavares Tears,0.246320803310168,0.073152132304773,0.0592697647887161
Clark Candiotti,0.0909836719378174,0.0443166264816293,0.0492963230032296
Nick Mitchell,0.0909836719378174,0.0443166264816293,0.0492963230032296
Sam Stuhr,0.0909836719378174,0.0443166264816293,0.0492963230032296
A.J. Causey,0.0909836719378174,0.0443166264816293,0.0492963230032296
Sam Antonacci,0.0909836719378174,0.0443166264816293,0.0492963230032296
Braden Davis,0.207486520467081,0.0659432558489872,0.048264802863925
Dylan Jordan,0.150184340784852,0.103517295328663,0.108496991850264
Trey Snyder,0.227852906471027,0.117935048240235,0.107809311757394
Will Taylor,0.0909836719378174,0.0443166264816293,0.0492963230032296
Aidan Major,0.0909836719378174,0.0443166264816293,0.0492963230032296
Jack Penney,0.0909836719378174,0.0443166264816293,0.0492963230032296
Brandon Clarke,0.207486520467081,0.0659432558489872,0.048264802863925
Jakob Christian,0.0909836719378174,0.0443166264816293,0.0492963230032296
Tristan Smith,0.0909836719378174,0.0443166264816293,0.0492963230032296
Kale Fountain,0.266687189314115,0.125143924696021,0.107465471710959
Greysen Carter,0.0909836719378174,0.0443166264816293,0.0492963230032296
Ariel Armas,0.0909836719378174,0.0443166264816293,0.0492963230032296
Charlie Beilenson,0.0909836719378174,0.0443166264816293,0.0492963230032296
Grant Shepardson,0.266687189314115,0.125143924696021,0.107465471710959
John Holobetz,0.0909836719378174,0.0443166264816293,0.0492963230032296
Jacob Kmatz,0.0909836719378174,0.0443166264816293,0.0492963230032296
Jackson Wentworth,0.168652237623993,0.0587343793932009,0.0486086429103598
Caden Kendle,0.0909836719378174,0.0443166264816293,0.0492963230032296
Ryan Stafford,0.207486520467081,0.0659432558489872,0.048264802863925
Carter Mathison,0.168652237623993,0.0587343793932009,0.0486086429103598
Cole Hertzler,0.207486520467081,0.0659432558489872,0.048264802863925
Connor Foley,0.0909836719378174,0.0443166264816293,0.0492963230032296
Devin Fitz-Gerald,0.150184340784852,0.103517295328663,0.108496991850264
Mason Marriott,0.223293625216988,0.0659432558489872,0.048264802863925
Dennis Colleran,0.223293625216988,0.0659432558489872,0.048264802863925
Brock Moore,0.223293625216988,0.0659432558489872,0.048264802863925
Luke Hayden,0.246320803310168,0.073152132304773,0.0592697647887161
Chase Mobley,0.305521472157203,0.132352801151807,0.11847043363575
